filename,average_plddt
model_2_ptm_r1_seed3.pdb,59.882352941176464
model_1_ptm_r2_seed1.pdb,61.26588235294116
model_1_ptm_r2_seed0.pdb,63.184705882352944
model_2_ptm_r1_seed2.pdb,59.1564705882353
model_4_ptm_r3_seed5.pdb,68.16470588235296
model_1_ptm_r1_seed8.pdb,65.28235294117647
model_5_ptm_r2_seed4.pdb,65.86764705882354
model_3_ptm_r0_seed3.pdb,63.03588235294117
model_5_ptm_r1_seed8.pdb,65.44764705882355
model_5_ptm_r2_seed0.pdb,58.406470588235294
model_3_ptm_r0_seed7.pdb,65.36882352941177
model_4_ptm_r0_seed9.pdb,66.98882352941177
model_2_ptm_r1_seed6.pdb,60.586470588235294
model_4_ptm_r3_seed1.pdb,64.48235294117646
model_1_ptm_r2_seed4.pdb,63.60235294117647
model_1_ptm_r2_seed5.pdb,67.86235294117647
model_4_ptm_r3_seed0.pdb,65.28235294117647
model_2_ptm_r1_seed7.pdb,60.553529411764714
model_4_ptm_r0_seed8.pdb,70.43235294117648
model_3_ptm_r0_seed6.pdb,61.20411764705882
model_5_ptm_r2_seed1.pdb,66.49764705882352
model_5_ptm_r1_seed9.pdb,62.63117647058824
model_5_ptm_r2_seed3.pdb,63.89705882352941
model_3_ptm_r0_seed4.pdb,66.02294117647058
model_2_ptm_r1_seed5.pdb,62.55764705882354
model_4_ptm_r3_seed2.pdb,66.81294117647059
model_1_ptm_r2_seed7.pdb,61.688823529411756
model_1_ptm_r2_seed6.pdb,64.0764705882353
model_4_ptm_r3_seed3.pdb,68.59882352941176
model_2_ptm_r1_seed4.pdb,55.823529411764696
model_3_ptm_r0_seed5.pdb,67.15588235294116
model_5_ptm_r2_seed2.pdb,69.71235294117648
model_2_ptm_r3_seed8.pdb,61.92764705882354
model_2_ptm_r0_seed0.pdb,62.094117647058816
model_4_ptm_r2_seed7.pdb,68.70882352941177
model_1_ptm_r3_seed2.pdb,61.88117647058824
model_3_ptm_r2_seed9.pdb,64.46588235294116
model_5_ptm_r3_seed6.pdb,64.12176470588236
model_3_ptm_r1_seed1.pdb,70.49588235294118
model_3_ptm_r1_seed0.pdb,62.20411764705884
model_5_ptm_r3_seed7.pdb,64.66
model_3_ptm_r2_seed8.pdb,65.44176470588235
model_1_ptm_r3_seed3.pdb,60.411764705882355
model_4_ptm_r2_seed6.pdb,66.88176470588235
model_2_ptm_r0_seed1.pdb,63.12588235294118
model_2_ptm_r3_seed9.pdb,56.898823529411764
model_1_ptm_r0_seed9.pdb,72.98352941176469
model_2_ptm_r0_seed3.pdb,61.70294117647059
model_4_ptm_r2_seed4.pdb,71.94235294117647
model_1_ptm_r3_seed1.pdb,61.050588235294114
model_5_ptm_r3_seed5.pdb,62.75529411764704
model_3_ptm_r1_seed2.pdb,64.32176470588236
model_3_ptm_r1_seed3.pdb,65.30294117647057
model_5_ptm_r3_seed4.pdb,66.20705882352941
model_1_ptm_r3_seed0.pdb,62.272352941176464
model_4_ptm_r2_seed5.pdb,66.70764705882353
model_2_ptm_r0_seed2.pdb,60.567058823529415
model_1_ptm_r0_seed8.pdb,66.83352941176472
model_4_ptm_r1_seed9.pdb,61.550588235294114
model_4_ptm_r2_seed1.pdb,70.7064705882353
model_2_ptm_r0_seed6.pdb,59.65529411764706
model_1_ptm_r3_seed4.pdb,61.49529411764708
model_5_ptm_r0_seed8.pdb,72.87941176470589
model_3_ptm_r1_seed7.pdb,61.314705882352946
model_5_ptm_r3_seed0.pdb,65.27117647058823
model_5_ptm_r3_seed1.pdb,62.55882352941177
model_3_ptm_r1_seed6.pdb,67.1705882352941
model_5_ptm_r0_seed9.pdb,69.08411764705883
model_1_ptm_r3_seed5.pdb,63.81176470588234
model_2_ptm_r0_seed7.pdb,54.17235294117648
model_4_ptm_r2_seed0.pdb,67.1941176470588
model_4_ptm_r1_seed8.pdb,65.73176470588237
model_4_ptm_r2_seed2.pdb,67.94117647058825
model_2_ptm_r0_seed5.pdb,62.30941176470589
model_1_ptm_r3_seed7.pdb,64.42588235294117
model_3_ptm_r1_seed4.pdb,63.34823529411765
model_5_ptm_r3_seed3.pdb,63.73058823529412
model_5_ptm_r3_seed2.pdb,65.23411764705882
model_3_ptm_r1_seed5.pdb,68.51470588235294
model_1_ptm_r3_seed6.pdb,64.15823529411763
model_2_ptm_r0_seed4.pdb,53.69823529411765
model_4_ptm_r2_seed3.pdb,69.47705882352942
