Filename,Clash Score,Ramachandran Outliers (%),PAE Summary
model_2_ptm_r3_seed1.pdb,999.7770345596433,0.0,
model_3_ptm_r4_seed7.pdb,999.7770345596433,0.0,
model_4_ptm_r1_seed6.pdb,999.7770345596433,0.0,
model_5_ptm_r6_seed0.pdb,999.7770345596433,0.0,
model_5_ptm_r11_seed2.pdb,999.7770345596433,0.0,
model_4_ptm_r11_seed4.pdb,999.7770345596433,0.0,
model_1_ptm_r0_seed3.pdb,1048.6064659977703,0.0,
model_3_ptm_r9_seed4.pdb,999.7770345596433,0.0,
model_5_ptm_r5_seed8.pdb,999.7770345596433,0.0,
model_2_ptm_r0_seed9.pdb,1019.3979933110369,0.0,
model_1_ptm_r11_seed7.pdb,999.7770345596433,0.0,
model_2_ptm_r8_seed5.pdb,999.7770345596433,0.0,
model_1_ptm_r6_seed4.pdb,1000.0,0.0,
model_5_ptm_r0_seed7.pdb,999.7770345596433,0.0,
model_4_ptm_r7_seed1.pdb,1000.0,0.0,
model_3_ptm_r2_seed0.pdb,999.7770345596433,0.0,
model_2_ptm_r5_seed6.pdb,999.7770345596433,0.0,
model_2_ptm_r10_seed1.pdb,999.7770345596433,0.0,
model_3_ptm_r10_seed7.pdb,999.7770345596433,0.0,
model_3_ptm_r1_seed8.pdb,999.7770345596433,0.0,
model_4_ptm_r4_seed9.pdb,999.7770345596433,0.0,
model_4_ptm_r4_seed8.pdb,999.7770345596433,0.0,
model_3_ptm_r1_seed9.pdb,999.7770345596433,0.0,
model_2_ptm_r10_seed0.pdb,999.7770345596433,0.0,
model_3_ptm_r10_seed6.pdb,1000.0,0.0,
model_3_ptm_r2_seed1.pdb,999.7770345596433,0.0,
model_2_ptm_r5_seed7.pdb,999.7770345596433,0.0,
model_5_ptm_r0_seed6.pdb,1004.0133779264213,0.0,
model_4_ptm_r7_seed0.pdb,999.7770345596433,0.0,
model_1_ptm_r6_seed5.pdb,999.7770345596433,0.0,
model_2_ptm_r8_seed4.pdb,999.7770345596433,0.0,
model_1_ptm_r11_seed6.pdb,1000.0,0.0,
model_2_ptm_r0_seed8.pdb,1002.8985507246377,0.0,
model_5_ptm_r5_seed9.pdb,999.7770345596433,0.0,
model_3_ptm_r9_seed5.pdb,999.7770345596433,0.0,
model_1_ptm_r0_seed2.pdb,1086.7335562987737,0.0,
model_5_ptm_r11_seed3.pdb,999.7770345596433,0.0,
